position,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,support,f1_1,precision_1,recall_1,support_1,f1_2,precision_2,recall_2,support_2,f1_3,precision_3,recall_3,support_3,f1_4,precision_4,recall_4,support_4,f1_0,precision_0,recall_0,support_0
p_1,0.3664195736434108,0.3641725921137686,0.37255236794171215,0.5526747774906691,0.53562151356269,0.5740740740740741,108.0,0.7131782945736435,0.6764705882352942,0.7540983606557377,61.0,0.3125,0.35714285714285715,0.2777777777777778,18.0,0.44,0.4230769230769231,0.4583333333333333,24.0,0.0,0.0,0.0,5.0,,,,
p_2,0.36178967342454804,0.37280701754385964,0.3984962406015037,0.4046805819101834,0.3932098765432099,0.46296296296296297,108.0,0.5894736842105263,0.49122807017543857,0.7368421052631579,38.0,0.0,0.0,0.0,21.0,0.47058823529411764,0.4,0.5714285714285714,28.0,0.3870967741935484,0.6,0.2857142857142857,21.0,,,,
p_3,0.46564625850340136,0.5481416957026712,0.46026228673287495,0.500352733686067,0.5177657332128877,0.5370370370370371,108.0,0.5333333333333333,0.8,0.4,10.0,0.5333333333333333,0.4878048780487805,0.5882352941176471,34.0,0.14285714285714285,0.3333333333333333,0.09090909090909091,22.0,0.6530612244897959,0.5714285714285714,0.7619047619047619,42.0,,,,
p_4,0.42441034384768406,0.47740800865800864,0.42250195160031223,0.5778314546430489,0.5712582170915504,0.6203703703703703,108.0,0.4444444444444444,0.5,0.4,15.0,0.782608695652174,0.7012987012987013,0.8852459016393442,61.0,0.11764705882352941,0.3333333333333333,0.07142857142857142,14.0,0.35294117647058826,0.375,0.3333333333333333,18.0,,,,
p_5,0.36796963946869066,0.45199275362318836,0.36450975924660134,0.5342385269519995,0.5299584004294149,0.6111111111111112,108.0,0.0,0.0,0.0,15.0,0.24,0.5,0.15789473684210525,19.0,0.7612903225806451,0.6413043478260869,0.9365079365079365,63.0,0.47058823529411764,0.6666666666666666,0.36363636363636365,11.0,,,,
p_6,0.4304168478620732,0.5003594432942259,0.42825255102040816,0.5410723374482503,0.553896791316276,0.5555555555555556,108.0,0.34146341463414637,0.30434782608695654,0.3888888888888889,18.0,0.7238095238095238,0.6785714285714286,0.7755102040816326,49.0,0.4745762711864407,0.5185185185185185,0.4375,32.0,0.18181818181818182,0.5,0.1111111111111111,9.0,,,,
p_7,0.2967171717171717,0.2760352392705334,0.343005698005698,0.4370557426112982,0.3915931562990386,0.5185185185185185,108.0,0.1111111111111111,0.18181818181818182,0.08,25.0,0.7424242424242424,0.6282051282051282,0.9074074074074074,54.0,0.0,0.0,0.0,16.0,0.3333333333333333,0.29411764705882354,0.38461538461538464,13.0,,,,
p_8,0.2991380126929999,0.29601391118245046,0.3104166666666667,0.5737846399966321,0.53143392188336,0.6296296296296297,108.0,0.782608695652174,0.7078651685393258,0.875,72.0,0.11764705882352941,0.14285714285714285,0.1,10.0,0.0,0.0,0.0,11.0,0.2962962962962963,0.3333333333333333,0.26666666666666666,15.0,,,,
p_9,0.3398635477582846,0.34168819554848967,0.3442520235013764,0.5148184246624793,0.49289086880998645,0.5462962962962963,108.0,0.4,0.4375,0.3684210526315789,19.0,0.0,0.0,0.0,7.0,0.6962962962962963,0.6351351351351351,0.7704918032786885,61.0,0.2631578947368421,0.29411764705882354,0.23809523809523808,21.0,,,,
p_10,0.3310243183492999,0.28283361486486486,0.40396613190730835,0.4705286716340511,0.4108678991491492,0.5555555555555556,108.0,0.0,0.0,0.0,22.0,0.7478260869565218,0.671875,0.8431372549019608,51.0,0.576271186440678,0.4594594594594595,0.7727272727272727,22.0,0.0,0.0,0.0,13.0,,,,
p_11,0.4932046172035933,0.503968253968254,0.5132225063938618,0.5288656484765747,0.5119047619047619,0.5833333333333334,108.0,0.5217391304347826,0.5714285714285714,0.48,25.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0,0.06896551724137931,0.16666666666666666,0.043478260869565216,23.0,0.7154471544715447,0.6111111111111112,0.8627450980392157,51.0,,,,
p_12,0.4670306388526727,0.47807017543859653,0.4687728937728938,0.6319094355111303,0.6249187784275504,0.6574074074074074,108.0,0.55,0.5789473684210527,0.5238095238095238,21.0,0.7796610169491526,0.696969696969697,0.8846153846153846,52.0,0.0,0.0,0.0,5.0,0.5384615384615384,0.6363636363636364,0.4666666666666667,30.0,,,,
p_13,0.4408424447174447,0.5255724474474475,0.43373262766645115,0.5024275184275184,0.5540262484706928,0.5370370370370371,108.0,0.672,0.5675675675675675,0.8235294117647058,51.0,0.45454545454545453,0.5555555555555556,0.38461538461538464,13.0,0.32432432432432434,0.6666666666666666,0.21428571428571427,28.0,0.3125,0.3125,0.3125,16.0,,,,
p_14,0.34087481146304677,0.3738636363636364,0.3484280731523378,0.47880006703536115,0.4660353535353535,0.5185185185185185,108.0,0.46153846153846156,0.45454545454545453,0.46875,32.0,0.11764705882352941,0.25,0.07692307692307693,13.0,0.11764705882352941,0.2,0.08333333333333333,12.0,0.6666666666666666,0.5909090909090909,0.7647058823529411,51.0,,,,
p_15,0.3297275641025641,0.33025451559934316,0.338768115942029,0.5665954415954416,0.5285075716110198,0.6203703703703703,108.0,0.4375,0.5,0.3888888888888889,18.0,0.0,0.0,0.0,12.0,0.7564102564102564,0.6781609195402298,0.855072463768116,69.0,0.125,0.14285714285714285,0.1111111111111111,9.0,,,,
