position,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,support,f1_1,precision_1,recall_1,support_1,f1_2,precision_2,recall_2,support_2,f1_3,precision_3,recall_3,support_3,f1_4,precision_4,recall_4,support_4,f1_0,precision_0,recall_0,support_0
p_1,0.1804733727810651,0.1412037037037037,0.25,0.40773613850536927,0.3190157750342935,0.5648148148148148,108.0,0.7218934911242604,0.5648148148148148,1.0,61.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,5.0,,,,
p_2,0.13013698630136986,0.08796296296296297,0.25,0.18315575849822424,0.1237997256515775,0.35185185185185186,108.0,0.5205479452054794,0.35185185185185186,1.0,38.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0,,,,
p_3,0.14,0.09722222222222222,0.25,0.21777777777777782,0.15123456790123455,0.3888888888888889,108.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.56,0.3888888888888889,1.0,42.0,,,,
p_4,0.1804733727810651,0.1412037037037037,0.25,0.40773613850536927,0.3190157750342935,0.5648148148148148,108.0,0.0,0.0,0.0,15.0,0.7218934911242604,0.5648148148148148,1.0,61.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,18.0,,,,
p_5,0.18421052631578946,0.14583333333333334,0.25,0.4298245614035088,0.3402777777777778,0.5833333333333334,108.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.7368421052631579,0.5833333333333334,1.0,63.0,0.0,0.0,0.0,11.0,,,,
p_6,0.15605095541401273,0.11342592592592593,0.25,0.28320358575135646,0.20584705075445817,0.4537037037037037,108.0,0.0,0.0,0.0,18.0,0.6242038216560509,0.4537037037037037,1.0,49.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,9.0,,,,
p_7,0.16666666666666666,0.125,0.25,0.3333333333333333,0.25,0.5,108.0,0.0,0.0,0.0,25.0,0.6666666666666666,0.5,1.0,54.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,13.0,,,,
p_8,0.2,0.16666666666666666,0.25,0.5333333333333333,0.4444444444444444,0.6666666666666666,108.0,0.8,0.6666666666666666,1.0,72.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,,,,
p_9,0.1804733727810651,0.1412037037037037,0.25,0.40773613850536927,0.3190157750342935,0.5648148148148148,108.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.7218934911242604,0.5648148148148148,1.0,61.0,0.0,0.0,0.0,21.0,,,,
p_10,0.16037735849056603,0.11805555555555555,0.25,0.30293501048218024,0.22299382716049382,0.4722222222222222,108.0,0.0,0.0,0.0,22.0,0.6415094339622641,0.4722222222222222,1.0,51.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,13.0,,,,
p_11,0.16037735849056603,0.11805555555555555,0.25,0.30293501048218024,0.22299382716049382,0.4722222222222222,108.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,23.0,0.6415094339622641,0.4722222222222222,1.0,51.0,,,,
p_12,0.1625,0.12037037037037036,0.25,0.312962962962963,0.23182441700960219,0.48148148148148145,108.0,0.0,0.0,0.0,21.0,0.65,0.48148148148148145,1.0,52.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0,,,,
p_13,0.16037735849056603,0.11805555555555555,0.25,0.30293501048218024,0.22299382716049382,0.4722222222222222,108.0,0.6415094339622641,0.4722222222222222,1.0,51.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,16.0,,,,
p_14,0.16037735849056603,0.11805555555555555,0.25,0.30293501048218024,0.22299382716049382,0.4722222222222222,108.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,12.0,0.6415094339622641,0.4722222222222222,1.0,51.0,,,,
p_15,0.19491525423728814,0.1597222222222222,0.25,0.49811676082862527,0.408179012345679,0.6388888888888888,108.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,12.0,0.7796610169491526,0.6388888888888888,1.0,69.0,0.0,0.0,0.0,9.0,,,,
p_16,0.1687116564417178,0.12731481481481483,0.25,0.34367189275164733,0.25934499314128945,0.5092592592592593,108.0,0.0,0.0,0.0,27.0,0.6748466257668712,0.5092592592592593,1.0,55.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,,,,
