position,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,support,f1_0,precision_0,recall_0,support_0,f1_1,precision_1,recall_1,support_1,f1_2,precision_2,recall_2,support_2,f1_3,precision_3,recall_3,support_3,f1_4,precision_4,recall_4,support_4
p_1,0.012121212121212121,0.02222222222222222,0.008333333333333333,0.01346801346801347,0.024691358024691357,0.009259259259259259,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,18.0,0.06060606060606061,0.1111111111111111,0.041666666666666664,24.0,0.0,0.0,0.0,5.0
p_2,0.03404255319148936,0.08888888888888888,0.021052631578947368,0.0598896769109535,0.15637860082304528,0.037037037037037035,108.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.4444444444444444,0.10526315789473684,38.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0
p_3,0.032,0.1,0.019047619047619046,0.06222222222222222,0.19444444444444445,0.037037037037037035,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,22.0,0.16,0.5,0.09523809523809523,42.0
p_4,0.034782608695652174,0.05,0.026666666666666665,0.024154589371980676,0.034722222222222224,0.018518518518518517,108.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.25,0.13333333333333333,15.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,18.0
p_5,0.022535211267605635,0.1,0.012698412698412698,0.06572769953051644,0.2916666666666667,0.037037037037037035,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.11267605633802817,0.5,0.06349206349206349,63.0,0.0,0.0,0.0,11.0
p_6,0.015384615384615385,0.025,0.01111111111111111,0.01282051282051282,0.020833333333333332,0.009259259259259259,108.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.125,0.05555555555555555,18.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,9.0
p_7,0.006557377049180328,0.02857142857142857,0.0037037037037037034,0.01639344262295082,0.07142857142857142,0.009259259259259259,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.03278688524590164,0.14285714285714285,0.018518518518518517,54.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,13.0
p_8,0.042105263157894736,0.04444444444444444,0.04,0.01949317738791423,0.0205761316872428,0.018518518518518517,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.21052631578947367,0.2222222222222222,0.2,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0
p_9,0.04,0.06666666666666667,0.02857142857142857,0.03888888888888889,0.06481481481481481,0.027777777777777776,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,61.0,0.2,0.3333333333333333,0.14285714285714285,21.0
p_10,0.013793103448275862,0.05714285714285714,0.00784313725490196,0.032567049808429116,0.1349206349206349,0.018518518518518517,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.06896551724137931,0.2857142857142857,0.0392156862745098,51.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,13.0
