position,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,support,f1_1,precision_1,recall_1,support_1,f1_2,precision_2,recall_2,support_2,f1_3,precision_3,recall_3,support_3,f1_4,precision_4,recall_4,support_4,f1_0,precision_0,recall_0,support_0
p_1,0.3486375855327468,0.35187567713976164,0.35171903460837883,0.5307555845190254,0.5133722563300028,0.5555555555555556,108.0,0.696969696969697,0.647887323943662,0.7540983606557377,61.0,0.3225806451612903,0.38461538461538464,0.2777777777777778,18.0,0.375,0.375,0.375,24.0,0.0,0.0,0.0,5.0,,,,
p_2,0.3599960780468673,0.37023809523809526,0.3984962406015037,0.40340120491115683,0.391358024691358,0.46296296296296297,108.0,0.5957446808510638,0.5,0.7368421052631579,38.0,0.0,0.0,0.0,21.0,0.45714285714285713,0.38095238095238093,0.5714285714285714,28.0,0.3870967741935484,0.6,0.2857142857142857,21.0,,,,
p_3,0.489319411615323,0.6119110914192881,0.47811942959001785,0.5236644606944073,0.5537969663652724,0.5648148148148148,108.0,0.5714285714285714,1.0,0.4,10.0,0.5633802816901409,0.5405405405405406,0.5882352941176471,34.0,0.14285714285714285,0.3333333333333333,0.09090909090909091,22.0,0.6796116504854369,0.5737704918032787,0.8333333333333334,42.0,,,,
p_4,0.39663350833563604,0.39038461538461533,0.4128415300546448,0.5687770989189429,0.5261396011396011,0.6296296296296297,108.0,0.42857142857142855,0.46153846153846156,0.4,15.0,0.7943262411347518,0.7,0.9180327868852459,61.0,0.0,0.0,0.0,14.0,0.36363636363636365,0.4,0.3333333333333333,18.0,,,,
p_5,0.3055258467023173,0.31862745098039214,0.33694083694083693,0.4863141216082393,0.42247639796659403,0.6111111111111112,108.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.7515151515151515,0.6078431372549019,0.9841269841269841,63.0,0.47058823529411764,0.6666666666666666,0.36363636363636365,11.0,,,,
p_6,0.38097643097643097,0.38048000496770995,0.3977643140589569,0.519933906970944,0.5137681459402771,0.5462962962962963,108.0,0.3333333333333333,0.2916666666666667,0.3888888888888889,18.0,0.7090909090909091,0.639344262295082,0.7959183673469388,49.0,0.48148148148148145,0.5909090909090909,0.40625,32.0,0.0,0.0,0.0,9.0,,,,
p_7,0.2964101501335544,0.2744252873563218,0.35251958689458684,0.42525175769856616,0.3636653895274585,0.5370370370370371,108.0,0.0,0.0,0.0,25.0,0.7375886524822695,0.5977011494252874,0.9629629629629629,54.0,0.09090909090909091,0.16666666666666666,0.0625,16.0,0.35714285714285715,0.3333333333333333,0.38461538461538464,13.0,,,,
p_8,0.29603242263088814,0.29320492241840557,0.30694444444444446,0.5655030664976672,0.5239432851792403,0.6203703703703703,108.0,0.7701863354037267,0.6966292134831461,0.8611111111111112,72.0,0.11764705882352941,0.14285714285714285,0.1,10.0,0.0,0.0,0.0,11.0,0.2962962962962963,0.3333333333333333,0.26666666666666666,15.0,,,,
p_9,0.4040348196694946,0.4305964052287582,0.39187107112042396,0.5448205332106261,0.5356284797869765,0.5648148148148148,108.0,0.4117647058823529,0.4666666666666667,0.3684210526315789,19.0,0.18181818181818182,0.25,0.14285714285714285,7.0,0.706766917293233,0.6527777777777778,0.7704918032786885,61.0,0.3157894736842105,0.35294117647058826,0.2857142857142857,21.0,,,,
p_10,0.33407317729351627,0.27903167091372405,0.4235739750445633,0.4861123566396636,0.415722876134234,0.5925925925925926,108.0,0.0,0.0,0.0,22.0,0.7966101694915254,0.7014925373134329,0.9215686274509803,51.0,0.5396825396825397,0.4146341463414634,0.7727272727272727,22.0,0.0,0.0,0.0,13.0,,,,
p_11,0.5211910851297041,0.5517809396485867,0.5180534242682581,0.5691078363712635,0.5673550986050986,0.6018518518518519,108.0,0.5217391304347826,0.5714285714285714,0.48,25.0,0.5882352941176471,0.625,0.5555555555555556,9.0,0.23529411764705882,0.36363636363636365,0.17391304347826086,23.0,0.7394957983193278,0.6470588235294118,0.8627450980392157,51.0,,,,
p_12,0.45223833543505676,0.4769480519480519,0.4497710622710622,0.617772406706833,0.6167147667147667,0.6481481481481481,108.0,0.5,0.6,0.42857142857142855,21.0,0.7704918032786885,0.6714285714285714,0.9038461538461539,52.0,0.0,0.0,0.0,5.0,0.5384615384615384,0.6363636363636364,0.4666666666666667,30.0,,,,
p_13,0.466260970113852,0.6396103896103896,0.4372609620771385,0.5254126146426313,0.6063011063011062,0.5555555555555556,108.0,0.671875,0.5584415584415584,0.8431372549019608,51.0,0.47058823529411764,1.0,0.3076923076923077,13.0,0.4,0.6666666666666666,0.2857142857142857,28.0,0.3225806451612903,0.3333333333333333,0.3125,16.0,,,,
p_14,0.31188524590163935,0.30140541525012143,0.33409926470588236,0.4664845173041894,0.4331862824456316,0.5185185185185185,108.0,0.4918032786885246,0.5172413793103449,0.46875,32.0,0.0,0.0,0.0,13.0,0.1,0.125,0.08333333333333333,12.0,0.6557377049180327,0.5633802816901409,0.7843137254901961,51.0,,,,
p_15,0.3487680187730473,0.37613636363636366,0.3496376811594203,0.5967054047007115,0.5751262626262627,0.6481481481481481,108.0,0.5,0.7,0.3888888888888889,18.0,0.0,0.0,0.0,12.0,0.7898089171974523,0.7045454545454546,0.8985507246376812,69.0,0.10526315789473684,0.1,0.1111111111111111,9.0,,,,
p_16,0.4697614442295293,0.5290697674418605,0.46709956709956707,0.5299854335315328,0.5036606373815676,0.6111111111111112,108.0,0.4,0.5,0.3333333333333333,27.0,0.75177304964539,0.6162790697674418,0.9636363636363636,55.0,0.0,0.0,0.0,19.0,0.7272727272727273,1.0,0.5714285714285714,7.0,,,,
p_17,0.5026171485543369,0.5096876695342167,0.5186074429771909,0.6161330822347771,0.6100253745181282,0.6574074074074074,108.0,0.5,0.6363636363636364,0.4117647058823529,34.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0,0.7457627118644068,0.6376811594202898,0.8979591836734694,49.0,0.0,0.0,0.0,8.0,,,,
p_18,0.39339019189765456,0.3933111603843311,0.43669871794871795,0.47721708915738764,0.4470504503024828,0.5648148148148148,108.0,0.2857142857142857,0.45454545454545453,0.20833333333333334,24.0,0.5714285714285714,0.5333333333333333,0.6153846153846154,13.0,0.7164179104477612,0.5853658536585366,0.9230769230769231,52.0,0.0,0.0,0.0,19.0,,,,
p_19,0.4339591155611181,0.5455128205128205,0.41898656898656894,0.6354470866360729,0.6506410256410257,0.6759259259259259,108.0,0.8652482269503546,0.782051282051282,0.9682539682539683,63.0,0.47058823529411764,1.0,0.3076923076923077,13.0,0.0,0.0,0.0,12.0,0.4,0.4,0.4,20.0,,,,
p_20,0.34118651835187264,0.30756222943722944,0.4011363636363636,0.4187169505046437,0.3641198693282026,0.5092592592592593,108.0,0.0,0.0,0.0,27.0,0.37037037037037035,0.3125,0.45454545454545453,11.0,0.2857142857142857,0.3333333333333333,0.25,20.0,0.7086614173228346,0.5844155844155844,0.9,50.0,,,,
p_21,0.40995670995670996,0.43919172932330824,0.40730284208545076,0.550376783710117,0.5373538011695906,0.5833333333333334,108.0,0.36363636363636365,0.4,0.3333333333333333,18.0,0.38095238095238093,0.42105263157894735,0.34782608695652173,23.0,0.13333333333333333,0.25,0.09090909090909091,11.0,0.7619047619047619,0.6857142857142857,0.8571428571428571,56.0,,,,
p_22,0.42355371900826444,0.5224474474474474,0.4195947315096251,0.49655647382920115,0.5540957624290958,0.5370370370370371,108.0,0.3333333333333333,0.5555555555555556,0.23809523809523808,21.0,0.4,0.7,0.28,25.0,0.6942148760330579,0.5675675675675675,0.8936170212765957,47.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0,,,,
p_23,0.30567545963229414,0.2636144578313253,0.36517857142857146,0.4710305829410546,0.4000892458723784,0.5740740740740741,108.0,0.7338129496402878,0.6144578313253012,0.9107142857142857,56.0,0.4888888888888889,0.44,0.55,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,,,,
p_24,0.29869281045751633,0.453125,0.32530364372469633,0.4573226821592834,0.5607638888888888,0.5555555555555556,108.0,0.0,0.0,0.0,15.0,0.26666666666666666,1.0,0.15384615384615385,26.0,0.2222222222222222,0.25,0.2,10.0,0.7058823529411765,0.5625,0.9473684210526315,57.0,,,,
p_25,0.3645238095238095,0.4230263157894737,0.39095547309833023,0.5167019400352734,0.4982699805068226,0.5925925925925926,108.0,0.72,0.5921052631578947,0.9183673469387755,49.0,0.0,0.0,0.0,16.0,0.5714285714285714,0.6,0.5454545454545454,33.0,0.16666666666666666,0.5,0.1,10.0,,,,
p_26,0.35942728442728444,0.3666666666666667,0.374890350877193,0.550961675961676,0.5185185185185185,0.6111111111111112,108.0,0.7567567567567568,0.6666666666666666,0.875,64.0,0.21428571428571427,0.3333333333333333,0.15789473684210525,19.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0,0.0,0.0,0.0,10.0,,,,
p_27,0.3865826352668458,0.44410235358511224,0.39604498115136416,0.4809449800677871,0.5520738308094629,0.48148148148148145,108.0,0.4864864864864865,0.6666666666666666,0.3829787234042553,47.0,0.37037037037037035,0.5555555555555556,0.2777777777777778,18.0,0.5894736842105263,0.4827586206896552,0.7567567567567568,37.0,0.1,0.07142857142857142,0.16666666666666666,6.0,,,,
p_28,0.3221494457793969,0.34667065390749596,0.3347222222222222,0.41281956322650837,0.4198151101659873,0.4444444444444444,108.0,0.5773195876288659,0.49122807017543857,0.7,40.0,0.34285714285714286,0.5454545454545454,0.25,24.0,0.3684210526315789,0.35,0.3888888888888889,36.0,0.0,0.0,0.0,8.0,,,,
p_29,0.35264187866927593,0.33232931726907633,0.38037518037518037,0.5237128844434781,0.471731369924141,0.5925925925925926,108.0,0.7534246575342466,0.6626506024096386,0.873015873015873,63.0,0.19047619047619047,0.2,0.18181818181818182,11.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0,0.0,0.0,0.0,19.0,,,,
p_30,0.32967229157850186,0.3828488372093023,0.34626572327044025,0.47927638281531637,0.4871662360034453,0.5555555555555556,108.0,0.0,0.0,0.0,11.0,0.1875,0.25,0.15,20.0,0.4117647058823529,0.7,0.2916666666666667,24.0,0.7194244604316546,0.5813953488372093,0.9433962264150944,53.0,,,,
p_31,0.47540669667535335,0.5006944444444444,0.4610581622678397,0.6210642115700159,0.613940329218107,0.6388888888888888,108.0,0.7910447761194029,0.7361111111111112,0.8548387096774194,62.0,0.5142857142857142,0.6,0.45,20.0,0.2962962962962963,0.3333333333333333,0.26666666666666666,15.0,0.3,0.3333333333333333,0.2727272727272727,11.0,,,,
p_32,0.34448160535117056,0.296875,0.4126984126984127,0.5501672240802676,0.484375,0.6388888888888888,108.0,0.0,0.0,0.0,16.0,0.6086956521739131,0.5,0.7777777777777778,18.0,0.7692307692307693,0.6875,0.873015873015873,63.0,0.0,0.0,0.0,11.0,,,,
p_33,0.40324473180076625,0.3965277777777778,0.41246498599439774,0.5259964346530439,0.5087962962962963,0.5462962962962963,108.0,0.5777777777777777,0.5416666666666666,0.6190476190476191,42.0,0.5977011494252874,0.5777777777777777,0.6190476190476191,42.0,0.4375,0.4666666666666667,0.4117647058823529,17.0,0.0,0.0,0.0,7.0,,,,
