position,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,support,f1_1,precision_1,recall_1,support_1,f1_2,precision_2,recall_2,support_2,f1_3,precision_3,recall_3,support_3,f1_4,precision_4,recall_4,support_4,f1_0,precision_0,recall_0,support_0
p_1,0.38622494114824646,0.3886828644501279,0.38644125683060104,0.5674386395151694,0.5550274699251682,0.5833333333333334,108.0,0.7131782945736435,0.6764705882352942,0.7540983606557377,61.0,0.36363636363636365,0.4,0.3333333333333333,18.0,0.46808510638297873,0.4782608695652174,0.4583333333333333,24.0,0.0,0.0,0.0,5.0,,,,
p_2,0.3615975422427036,0.37251082251082246,0.3984962406015037,0.4056551174830745,0.3945566778900112,0.46296296296296297,108.0,0.6021505376344086,0.509090909090909,0.7368421052631579,38.0,0.0,0.0,0.0,21.0,0.45714285714285713,0.38095238095238093,0.5714285714285714,28.0,0.3870967741935484,0.6,0.2857142857142857,21.0,,,,
p_3,0.46042038084902975,0.5432900432900433,0.454309905780494,0.4927434087318333,0.5110790444123777,0.5277777777777778,108.0,0.5333333333333333,0.8,0.4,10.0,0.5263157894736842,0.47619047619047616,0.5882352941176471,34.0,0.14285714285714285,0.3333333333333333,0.09090909090909091,22.0,0.6391752577319587,0.5636363636363636,0.7380952380952381,42.0,,,,
p_4,0.3913753907360046,0.39082792207792205,0.4005464480874317,0.5543951880269016,0.5207130832130832,0.6018518518518519,108.0,0.4444444444444444,0.5,0.4,15.0,0.7681159420289855,0.6883116883116883,0.8688524590163934,61.0,0.0,0.0,0.0,14.0,0.35294117647058826,0.375,0.3333333333333333,18.0,,,,
p_5,0.30318165001849795,0.3203125,0.325036075036075,0.48084432934599414,0.4264081790123457,0.5833333333333334,108.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.7421383647798742,0.6145833333333334,0.9365079365079365,63.0,0.47058823529411764,0.6666666666666666,0.36363636363636365,11.0,,,,
p_6,0.43547231843643924,0.5067549727160712,0.4333545918367347,0.548959117920668,0.5623643137945197,0.5648148148148148,108.0,0.34146341463414637,0.30434782608695654,0.3888888888888889,18.0,0.7358490566037735,0.6842105263157895,0.7959183673469388,49.0,0.4827586206896552,0.5384615384615384,0.4375,32.0,0.18181818181818182,0.5,0.1111111111111111,9.0,,,,
p_7,0.2925724637681159,0.2647315023570404,0.34788995726495725,0.42800590445517983,0.36754268102905113,0.5277777777777778,108.0,0.0,0.0,0.0,25.0,0.75,0.6219512195121951,0.9444444444444444,54.0,0.08695652173913043,0.14285714285714285,0.0625,16.0,0.3333333333333333,0.29411764705882354,0.38461538461538464,13.0,,,,
p_8,0.29334583540638115,0.28530377668308704,0.30694444444444446,0.5691235649902266,0.528005838350666,0.6203703703703703,108.0,0.779874213836478,0.7126436781609196,0.8611111111111112,72.0,0.11764705882352941,0.14285714285714285,0.1,10.0,0.0,0.0,0.0,11.0,0.27586206896551724,0.2857142857142857,0.26666666666666666,15.0,,,,
p_9,0.3482765612327656,0.35389254385964913,0.3524487448128518,0.5284108317563306,0.5059393274853802,0.5648148148148148,108.0,0.4,0.4375,0.3684210526315789,19.0,0.0,0.0,0.0,7.0,0.7153284671532847,0.6447368421052632,0.8032786885245902,61.0,0.2777777777777778,0.3333333333333333,0.23809523809523808,21.0,,,,
p_10,0.33265856950067474,0.28474025974025974,0.40240641711229946,0.4776078372569601,0.4150913900913901,0.5648148148148148,108.0,0.0,0.0,0.0,22.0,0.7692307692307693,0.6818181818181818,0.8823529411764706,51.0,0.5614035087719298,0.45714285714285713,0.7272727272727273,22.0,0.0,0.0,0.0,13.0,,,,
p_11,0.4932046172035933,0.503968253968254,0.5132225063938618,0.5288656484765747,0.5119047619047619,0.5833333333333334,108.0,0.5217391304347826,0.5714285714285714,0.48,25.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0,0.06896551724137931,0.16666666666666666,0.043478260869565216,23.0,0.7154471544715447,0.6111111111111112,0.8627450980392157,51.0,,,,
p_12,0.4670306388526727,0.47807017543859653,0.4687728937728938,0.6319094355111303,0.6249187784275504,0.6574074074074074,108.0,0.55,0.5789473684210527,0.5238095238095238,21.0,0.7796610169491526,0.696969696969697,0.8846153846153846,52.0,0.0,0.0,0.0,5.0,0.5384615384615384,0.6363636363636364,0.4666666666666667,30.0,,,,
p_13,0.40512068576584703,0.5082981715893109,0.41184887416505067,0.4620347394540943,0.5288430483929781,0.5185185185185185,108.0,0.6615384615384615,0.5443037974683544,0.8431372549019608,51.0,0.45454545454545453,0.5555555555555556,0.38461538461538464,13.0,0.18181818181818182,0.6,0.10714285714285714,28.0,0.3225806451612903,0.3333333333333333,0.3125,16.0,,,,
p_14,0.3410437091503268,0.3690814393939394,0.3484280731523378,0.48021060275962235,0.4665404040404041,0.5185185185185185,108.0,0.46875,0.46875,0.46875,32.0,0.11764705882352941,0.25,0.07692307692307693,13.0,0.1111111111111111,0.16666666666666666,0.08333333333333333,12.0,0.6666666666666666,0.5909090909090909,0.7647058823529411,51.0,,,,
p_15,0.3297275641025641,0.33025451559934316,0.338768115942029,0.5665954415954416,0.5285075716110198,0.6203703703703703,108.0,0.4375,0.5,0.3888888888888889,18.0,0.0,0.0,0.0,12.0,0.7564102564102564,0.6781609195402298,0.855072463768116,69.0,0.125,0.14285714285714285,0.1111111111111111,9.0,,,,
p_16,0.5085308308712564,0.5905555555555556,0.47994734310523784,0.5547216770621026,0.554835390946502,0.5925925925925926,108.0,0.425531914893617,0.5,0.37037037037037035,27.0,0.7384615384615385,0.64,0.8727272727272727,55.0,0.14285714285714285,0.2222222222222222,0.10526315789473684,19.0,0.7272727272727273,1.0,0.5714285714285714,7.0,,,,
p_17,0.5082874752366278,0.5067850637522768,0.5208583433373349,0.6317203512118766,0.622395938743844,0.6574074074074074,108.0,0.5084745762711864,0.6,0.4411764705882353,34.0,0.7428571428571429,0.7222222222222222,0.7647058823529411,17.0,0.7818181818181819,0.7049180327868853,0.8775510204081632,49.0,0.0,0.0,0.0,8.0,,,,
p_18,0.3914900888585099,0.44814814814814813,0.4290232793522267,0.4727158806106174,0.48223593964334704,0.5555555555555556,108.0,0.18181818181818182,0.3333333333333333,0.125,24.0,0.5714285714285714,0.5333333333333333,0.6153846153846154,13.0,0.7218045112781954,0.5925925925925926,0.9230769230769231,52.0,0.09090909090909091,0.3333333333333333,0.05263157894736842,19.0,,,,
p_19,0.4183914406935989,0.44548872180451127,0.415018315018315,0.6277186797570491,0.6072820941241994,0.6666666666666666,108.0,0.8633093525179856,0.7894736842105263,0.9523809523809523,63.0,0.4,0.5714285714285714,0.3076923076923077,13.0,0.0,0.0,0.0,12.0,0.41025641025641024,0.42105263157894735,0.4,20.0,,,,
p_20,0.34584717607973425,0.3150241109101869,0.4011363636363636,0.4166482096714655,0.36181713660616616,0.5092592592592593,108.0,0.0,0.0,0.0,27.0,0.4,0.35714285714285715,0.45454545454545453,11.0,0.2857142857142857,0.3333333333333333,0.25,20.0,0.6976744186046512,0.569620253164557,0.9,50.0,,,,
p_21,0.4058818312247294,0.4230676328502415,0.40283855637116506,0.5456220550797309,0.5314859545535874,0.5740740740740741,108.0,0.36363636363636365,0.4,0.3333333333333333,18.0,0.3902439024390244,0.4444444444444444,0.34782608695652173,23.0,0.11764705882352941,0.16666666666666666,0.09090909090909091,11.0,0.752,0.6811594202898551,0.8392857142857143,56.0,,,,
p_22,0.419557617643742,0.529071379071379,0.4176899696048632,0.4942281220856447,0.5561138061138061,0.5370370370370371,108.0,0.2962962962962963,0.6666666666666666,0.19047619047619047,21.0,0.42105263157894735,0.6153846153846154,0.32,25.0,0.6942148760330579,0.5675675675675675,0.8936170212765957,47.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0,,,,
p_23,0.2960358056265985,0.25576923076923075,0.35178571428571426,0.4545798995926873,0.38945868945868944,0.5462962962962963,108.0,0.7058823529411765,0.6,0.8571428571428571,56.0,0.4782608695652174,0.4230769230769231,0.55,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,,,,
p_24,0.33111743622180057,0.49992319508448535,0.341970310391363,0.4793452339119638,0.5717955282471412,0.5648148148148148,108.0,0.1111111111111111,0.3333333333333333,0.06666666666666667,15.0,0.25806451612903225,0.8,0.15384615384615385,26.0,0.23529411764705882,0.2857142857142857,0.2,10.0,0.72,0.5806451612903226,0.9473684210526315,57.0,,,,
p_25,0.30965832660747916,0.29358141858141856,0.34833024118738404,0.4866429518030272,0.44732582232582235,0.5648148148148148,108.0,0.7301587301587301,0.5974025974025974,0.9387755102040817,49.0,0.0,0.0,0.0,16.0,0.5084745762711864,0.5769230769230769,0.45454545454545453,33.0,0.0,0.0,0.0,10.0,,,,
p_26,0.34337941628264207,0.361383032128514,0.3617324561403509,0.5423712806508505,0.5192273724527741,0.6018518518518519,108.0,0.7619047619047619,0.6746987951807228,0.875,64.0,0.16,0.3333333333333333,0.10526315789473684,19.0,0.45161290322580644,0.4375,0.4666666666666667,15.0,0.0,0.0,0.0,10.0,,,,
p_27,0.39764484741264927,0.4408307210031348,0.4066832790237046,0.49705390928301135,0.5539010797631488,0.5,108.0,0.5263157894736842,0.6896551724137931,0.425531914893617,47.0,0.35714285714285715,0.5,0.2777777777777778,18.0,0.5894736842105263,0.4827586206896552,0.7567567567567568,37.0,0.11764705882352941,0.09090909090909091,0.16666666666666666,6.0,,,,
p_28,0.3668331419823957,0.4512096774193548,0.36180555555555555,0.4188544457201174,0.43803265631222615,0.4444444444444444,108.0,0.58,0.48333333333333334,0.725,40.0,0.358974358974359,0.4666666666666667,0.2916666666666667,24.0,0.3283582089552239,0.3548387096774194,0.3055555555555556,36.0,0.2,0.5,0.125,8.0,,,,
p_29,0.3683687943262411,0.4096153846153846,0.38396369712159184,0.5523666929340688,0.5440408357075024,0.6018518518518519,108.0,0.7801418439716312,0.7051282051282052,0.873015873015873,63.0,0.13333333333333333,0.25,0.09090909090909091,11.0,0.4,0.35,0.4666666666666667,15.0,0.16,0.3333333333333333,0.10526315789473684,19.0,,,,
p_30,0.38159435920629947,0.5036799620132953,0.37940966266437964,0.5143294148269272,0.5447354999824136,0.5740740740740741,108.0,0.15384615384615385,0.5,0.09090909090909091,11.0,0.18181818181818182,0.23076923076923078,0.15,20.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,24.0,0.746268656716418,0.6172839506172839,0.9433962264150944,53.0,,,,
