Accession,GenBank_RefSeq,Organism_Name,Length,Country,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date
PV554916,GenBank,dengue virus type 2,10488,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-30
PV554917,GenBank,dengue virus type 2,10488,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-30
PV554918,GenBank,dengue virus type 2,10512,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-10-01
PV554919,GenBank,dengue virus type 3,10482,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-08-30
PV554920,GenBank,dengue virus type 2,10488,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-08-30
PV554921,GenBank,dengue virus type 3,10561,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-08-30
PV554922,GenBank,dengue virus type 3,10561,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-13
PV554923,GenBank,dengue virus type 1,10506,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-13
PV554924,GenBank,dengue virus type 3,10561,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-13
PV554925,GenBank,dengue virus type 3,10482,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-13
PV554926,GenBank,dengue virus type 2,10624,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-27
PV554927,GenBank,dengue virus type 2,10624,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-27
PV554928,GenBank,dengue virus type 2,10620,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-27
PV554929,GenBank,dengue virus type 2,10584,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-27
PV554930,GenBank,dengue virus type 3,10493,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-09-27
PV554931,GenBank,dengue virus type 2,10610,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-11-21
PV554932,GenBank,dengue virus type 2,10610,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-11-21
PV554933,GenBank,dengue virus type 2,10610,India,Homo sapiens,blood,"Singh,P., Negi,S., Sharma,K., Khare,R., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2024-11-21
PV344212,GenBank,dengue virus type 3,10605,India,Homo sapiens,blood,"Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Damodar,T., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-14
PV344214,GenBank,dengue virus type 3,10685,India,Homo sapiens,blood,"Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Damodar,T., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-27
PV344215,GenBank,dengue virus type 3,10685,India,Homo sapiens,blood,"Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Damodar,T., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-30
PV344225,GenBank,dengue virus type 3,10684,India,Homo sapiens,blood,"Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Damodar,T., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-06
PV344227,GenBank,dengue virus type 3,10684,India,Homo sapiens,blood,"Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Damodar,T., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-08
PV290916,GenBank,dengue virus type 1,10655,India,Homo sapiens,,"Nagy,O., Nagy,A., Koroknai,A., Csonka,N.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2024-07
PV138434,GenBank,dengue virus type 4,10650,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Pooja,S., Praveen,K., Anantharaj,A., Pandey,A.K., Pattabhiraman,C., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021-10
PV138435,GenBank,dengue virus type 4,10650,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Pooja,S., Praveen,K., Anantharaj,A., Pandey,A.K., Pattabhiraman,C., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021-10
PV138436,GenBank,dengue virus type 4,10650,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Pooja,S., Praveen,K., Anantharaj,A., Pandey,A.K., Pattabhiraman,C., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021-10
